year,section,org,kind,ref,norma,title,summary
2025,Autorización De Actividades Económicas,Comisión Para La Plena Participación E Inclusión De Las Personas Con Discapacidad,Ley,6779,Ley N? 6779,"Modifica las Ordenanzas N° 25060, N° 34421 y N° 48455, los Decretos Ordenanza N° 19184/62 y N° 13.455/62, las Leyes N° 52, N° 139, N° 1264, N° 1897, N° 600, N° 757, N° 1264, N° 1867, N° 2059, N° 2198, N° 2247, N° 3320, N° 4361, N° 4827, N° 5641, N° 5671, N° 5707, N° 5920 N° 6101, deroga las Ordenanzas sin número sancionadas el 21/5/1907, el 28/4/1908, el 16/6/1914, el 30/12/1920, el 27/4/1923, el 27/4/1923, las Ordenanzas N° 4372, N° 12437, N° 27916, N° 31700, N° 32959, N° 33082, N° 33373, N° 39206, N° 43677, N° 43772, N° 44103, N° 46625, N° 48891, N° 49816, N° 51277 y las Leyes N° 246 y N° 1493",
2025,Autorización De Actividades Económicas,Comisión Para La Plena Participación E Inclusión De Las Personas Con Discapacidad,Decreto,152,Decreto N? 152,"Modifica Decretos 1158/02, 1741/07 y 150/15. Deroga artículos del Decreto 1158/02. Deroga Decreto sin número dictado el 22/11/1923, que reglamenta la Ordenanza sin número sancionada el 27/04/1923, y los Decretos 6/05 y 1634/05.",
2025,Código Ambiental,Dirección General De Habilitaciones Y Permisos,Ley,6840,Ley N? 6840,Crea la Mesa de Trabajo para el desarrollo del Código Ambiental de la Ciudad Autónoma de Buenos Aires,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Fe de erratas,6776/LCBA/24,Fe de erratas N? 6776/LCBA/24,Modifica el Código Urbanístico – CUR,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Decreto,129,Decreto N? 129,Aprueba la reglamentación de la Capacidad Constructiva Adicional y las Áreas de Promoción de Espacios Verdes del Código Urbanístico,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Decreto,393,Decreto N? 393,Deroga el artículo 2° del Decreto N° 475/20 e incorpora el artículo 2° al Decreto N° 99/19,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6812,Ley N? 6812,Modifica la Ley 6806 - Ley Tarifaria 2025,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6815,Ley N? 6815,Prorroga por el término de dos años y modifica la Ley N° 6700 y sus modificatorias,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6926,Ley N? 6926,Modifica el Código Fiscal de la Ciudad Autónoma de Buenos Aires,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6927,Ley N? 6927,Ley Impositiva año 2026,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6928,Ley N? 6928,Ley Arancelaria Ejercicio 2026,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Decreto,116,Decreto N? 116,"Aprueba el texto ordenado del Código Fiscal, su índice y su cuadro de correlación de artículos",
2025,Impacto Ambiental,Subsecretaría De Inversiones,Decreto,164,Decreto N? 164,Sustituye el Anexo I del Decreto 85/19,
2025,Impacto Ambiental,Subsecretaría De Inversiones,Decreto,414,Decreto N? 414,Modifica el Anexo I del Decreto N° 85/19,
2025,Ministerios,Dirección General De Evaluación Ambiental,Decreto,265,Decreto N? 265,Modifica la estructura organizativa de la Jefatura de Gabinete y del Ministerio de Infraestructura,
2025,Sistema De Autoprotección,Administración Gubernamental De Ingresos Públicos,Ley,6779,Ley N? 6779,"Modifica las Ordenanzas N° 25060, N° 34421 y N° 48455, los Decretos Ordenanza N° 19184/62 y N° 13.455/62, las Leyes N° 52, N° 139, N° 1264, N° 1897, N° 600, N° 757, N° 1264, N° 1867, N° 2059, N° 2198, N° 2247, N° 3320, N° 4361, N° 4827, N° 5641, N° 5671, N° 5707, N° 5920 N° 6101, deroga las Ordenanzas sin número sancionadas el 21/5/1907, el 28/4/1908, el 16/6/1914, el 30/12/1920, el 27/4/1923, el 27/4/1923, las Ordenanzas N° 4372, N° 12437, N° 27916, N° 31700, N° 32959, N° 33082, N° 33373, N° 39206, N° 43677, N° 43772, N° 44103, N° 46625, N° 48891, N° 49816, N° 51277 y las Leyes N° 246 y N° 1493",
2025,Urbanismo,Dirección General De Defensa Civil,Ley,6769,Ley N? 6769,Abordaje Socio-Urbano del Sector 4 de la Traza de la EX AU3,
2025,Urbanismo,Dirección General De Defensa Civil,Decreto,189,Decreto N? 189,Aprueba la reglamentación de la Ley 6.769,
